Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Houston Texans,HOU,DST,49,49,114,7.125,4,3,-2.333333333,147
Adam Vinatieri,IND,K,47,23,46,2.875,4,2,7,102
Drew Brees,NOS,QB,40,18,287.3,17.95625,5,6,17.78666667,75
Tom Brady,NEP,QB,42,19,276.8,17.3,8,1.92,7.286666667,100
Terrell Suggs,ARI,LB,37,16,54,3.375,78,1,-78.33333333,547
Jason Witten,DAL,TE,37,16,68.9,4.30625,23,2.05,-18.4,240
Eli Manning,NYG,QB,38,15,226.9,14.18125,24,9.33,-42.61333333,386
Larry Fitzgerald,ARI,WR,36,15,99.5,6.21875,38,3.3,-2.925,152
Philip Rivers,LAC,QB,38,15,265,16.5625,15,0.93,-4.513333333,160
Ben Roethlisberger,PIT,QB,37,15,264.84,16.5525,16,1.8,-4.673333333,161
Ben Watson,NEP,TE,39,15,69.5,4.34375,22,1.3,-17.8,234
Matt Schaub,ATL,QB,38,15,1.04,0.065,62,0,-268.4733333,661
Thomas Davis,LAC,LB,36,14,108,6.75,30,1.75,-24.33333333,285
Aaron Rodgers,GBP,QB,36,14,312.32,19.52,2,7.98,42.80666667,45
Frank Gore,BUF,RB,36,14,56.1,3.50625,64,5.15,-56.9,455
Ryan Fitzpatrick,MIA,QB,37,14,144.14,9.00875,31,47.87,-125.3733333,630
Robbie Gould,SFO,K,37,14,36,2.25,11,1,-3,153
Vernon Davis,WAS,TE,35,13,46.6,2.9125,33,5,-40.7,381
Johnathan Joseph,HOU,CB,35,13,66,4.125,67,0.75,-43.16666667,391
Marcedes Lewis,GBP,TE,35,13,6.5,0.40625,70,1.05,-80.8,555
Stephen Gostkowski,NEP,K,35,13,48,3,3,2,9,94
Delanie Walker,TEN,TE,35,13,86.8,5.425,13,0.65,-0.5,136
Antoine Bethea,NYG,S,35,13,105.5,6.59375,14,1.5,-3.666666667,155
