Name,Team,Position,Age,Exp,Points,Pts-Game,Pos-Rank,Drop-Off,Points-VOR,Rank
Everson Griffen,MIN,DE,32,9,61.45,3.840625,36,0.75,-20.93333333,218
Earl Thomas,BAL,S,30,9,97,6.0625,43,0.95,-17.45,195
Devin McCourty,NEP,S,32,9,96.05,6.003125,44,0.025,-18.4,200
Jerry Hughes,BUF,DE,31,9,52.25,3.265625,59,0.65,-30.13333333,286
Morgan Burnett,CLE,S,30,9,94.25,5.890625,50,1.875,-20.2,215
Geno Atkins,CIN,DT,31,9,57.85,3.615625,46,0.275,-24.53333333,243
Colt McCoy,WAS,QB,33,9,0,0,35,0,-283.1866667,462
Linval Joseph,MIN,DT,31,9,66.15,4.134375,26,1.025,-16.23333333,187
Jimmy Graham,GBP,TE,33,9,91.2,5.7,16,3.8,-3.166666667,114
Reshad Jones,MIA,S,31,9,105.9,6.61875,21,0.2,-8.55,141
Andrew Sendejo,PHI,S,32,9,72.45,4.528125,78,3.275,-42,337
Marcus Sherels,NOS,CB,32,9,13.1,0.81875,84,5.75,-101.35,425
Blaine Gabbert,TBB,QB,30,8,0,0,35,0,-283.1866667,462
Cameron Heyward,PIT,DE,30,8,74,4.625,18,0.925,-8.383333333,139
Von Miller,DEN,LB,30,8,91.9,5.74375,48,1.15,-34.1,307
Robert Quinn,DAL,DE,29,8,63.15,3.946875,32,0.275,-19.23333333,208
J.J. Watt,HOU,DE,30,8,105.5,6.59375,2,7.225,23.11666667,42
Cam Newton,CAR,QB,30,8,310.5,19.40625,4,3.24,27.31333333,37
Mark Ingram,BAL,RB,30,8,175.7,10.98125,24,16,44.9,29
Justin Houston,IND,DE,30,8,77.5,4.84375,14,1.375,-4.883333333,121
Kyle Rudolph,MIN,TE,30,8,97.4,6.0875,11,1.05,3.033333333,82
Andy Dalton,CIN,QB,32,8,229.8,14.3625,25,3.13,-53.38666667,362
Jabaal Sheard,IND,DE,30,8,57.5,3.59375,48,0.7,-24.88333333,248
Jurrell Casey,TEN,DE,30,8,70.85,4.428125,22,1.05,-11.53333333,157
K.J. Wright,SEA,LB,30,8,91.25,5.703125,49,1.175,-34.75,311
Taiwan Jones,HOU,RB,31,8,0,0,96,0,-130.8,457
Bilal Powell,NYJ,RB,31,8,0,0,96,0,-130.8,457
Anthony Sherman,KCC,RB,31,8,0,0,96,0,-130.8,457
Dion Lewis,TEN,RB,29,8,125.3,7.83125,37,3.4,-5.5,124
Lee Smith,BUF,TE,32,8,0,0,63,0,-94.36666667,423
Charles Clay,ARI,TE,30,8,55.3,3.45625,35,0.75,-39.06666667,328
Tyrod Taylor,LAC,QB,30,8,0,0,35,0,-283.1866667,462
Virgil Green,LAC,TE,31,8,30.5,1.90625,50,1.9,-63.86666667,385
Dan Bailey,MIN,K,31,8,127.9,7.99375,16,1.3,-5.633333333,126
Nick Bellore,SEA,RB,30,8,0,0,96,0,-130.8,457
Mario Addison,CAR,DE,32,8,65,4.0625,28,0.625,-17.38333333,194
Kirk Cousins,MIN,QB,31,7,267.01,16.688125,17,6.995,-16.17666667,186
Russell Wilson,SEA,QB,31,7,309.1,19.31875,5,6.09,25.91333333,39
Lamar Miller,HOU,RB,28,7,142.9,8.93125,30,2.05,12.1,61
Doug Martin,OAK,RB,30,7,2.47,0.154375,89,0.4,-128.33,450
Melvin Ingram,LAC,DE,30,7,76.1,4.75625,16,2,-6.283333333,129
Chandler Jones,ARI,LB,29,7,87.5,5.46875,52,1.6,-38.5,327
Fletcher Cox,PHI,DT,29,7,60.25,3.765625,38,0.3,-22.13333333,224
Michael Brockers,LAR,DE,29,7,53.25,3.328125,58,1.325,-29.13333333,280
Bruce Irvin,CAR,DE,32,7,43,2.6875,71,0,-39.38333333,330
Lavonte David,TBB,LB,29,7,154.25,9.640625,2,5.925,28.25,35
Luke Kuechly,CAR,LB,28,7,127.15,7.946875,8,0.575,1.15,85
Bobby Wagner,SEA,LB,29,7,124.85,7.803125,11,4.225,-1.15,105
Janoris Jenkins,NYG,CB,31,7,89.3,5.58125,60,2.075,-25.15,251
Harrison Smith,MIN,S,30,7,112.85,7.053125,13,0.475,-1.6,107
Derek Wolfe,DEN,DE,29,7,51.6,3.225,60,0,-30.78333333,291
Trumaine Johnson,NYJ,CB,29,7,83.9,5.24375,67,1.7,-30.55,288
Olivier Vernon,CLE,DE,29,7,76.15,4.759375,15,1.05,-6.233333333,128
Demario Davis,NOS,LB,30,7,110.25,6.890625,21,1.25,-15.75,184
Tyrone Crawford,DAL,DT,30,7,42.15,2.634375,72,0,-40.23333333,332
Akiem Hicks,CHI,DE,30,7,74.1,4.63125,17,0.05,-8.283333333,138
Nigel Bradham,PHI,LB,30,7,99.4,6.2125,36,0.425,-26.6,259
Rhett Ellison,NYG,TE,31,7,28.5,1.78125,52,1.1,-65.86666667,391
Malik Jackson,PHI,DT,29,7,55.65,3.478125,54,1.475,-26.73333333,261
Tahir Whitehead,OAK,LB,29,7,102,6.375,32,0.125,-24,238
Randy Bullock,CIN,K,30,7,117,7.3125,24,1.2,-16.53333333,189
Danny Trevathan,CHI,LB,29,7,98.95,6.184375,38,0.325,-27.05,264
Case Keenum,WAS,QB,31,7,108.36,6.7725,32,46.325,-174.8266667,459
Jamize Olawale,DAL,RB,30,7,0,0,96,0,-130.8,457
Garrett Celek,SFO,TE,31,7,36.7,2.29375,45,4.7,-57.66666667,371
Tashaun Gipson,HOU,S,29,7,91.5,5.71875,52,0.525,-22.95,228
Damon Harrison,DET,DT,31,7,80.75,5.046875,12,1.775,-1.633333333,108
James Develin,NEP,RB,31,9,7.74,0.48375,80,0.615,-123.06,441
Mike Glennon,OAK,QB,30,6,0,0,35,0,-283.1866667,462
Andre Ellington,TBB,RB,30,6,0,0,96,0,-130.8,457
Kenjon Barner,ATL,RB,30,6,0,0,96,0,-130.8,457
Rex Burkhead,NEP,RB,29,6,95.7,5.98125,47,5.915,-35.1,312
Chris Thompson,WAS,RB,29,6,72.2,4.5125,57,0.44,-58.6,375
Theo Riddick,DET,RB,28,6,54.5,3.40625,63,1.95,-76.3,407
Le'Veon Bell,NYJ,RB,27,6,235.1,14.69375,4,2.95,104.3,4
Giovani Bernard,CIN,RB,28,6,72.2,4.5125,57,3.335,-58.6,375
Spencer Ware,IND,RB,28,6,1.53,0.095625,93,0.83,-129.27,454
Travis Kelce,KCC,TE,30,6,179.4,11.2125,1,21.65,85.03333333,12
Zach Ertz,PHI,TE,29,6,155.8,9.7375,3,27.35,61.43333333,23
Jordan Reed,WAS,TE,29,6,93.3,5.83125,15,3.45,-1.066666667,104
Tyler Eifert,CIN,TE,29,6,59.7,3.73125,30,0.75,-34.66666667,310
Vance McDonald,PIT,TE,29,6,116.2,7.2625,7,3.4,21.83333333,46
Sheldon Richardson,CLE,DT,29,6,64.15,4.009375,30,0.825,-18.23333333,198
Alec Ogletree,NYG,LB,28,6,109.25,6.828125,22,0.75,-16.75,191
Kiko Alonso,MIA,LB,29,6,95.95,5.996875,46,3.375,-30.05,285
Tyrann Mathieu,KCC,S,27,6,115.05,7.190625,9,0.9,0.6,90
Logan Ryan,TEN,CB,28,6,96,6,46,0.625,-18.45,202
Kenny Vaccaro,TEN,S,28,6,82.15,5.134375,69,0.125,-32.3,297
T.J. McDonald,MIA,S,28,6,99.9,6.24375,37,0.55,-14.55,177
Tony Jefferson,BAL,S,27,6,85.4,5.3375,64,0.85,-29.05,278
Shawn Williams,CIN,S,28,6,105.25,6.578125,25,1.425,-9.2,146
Kawann Short,CAR,DT,30,6,64.6,4.0375,29,0.775,-17.78333333,197
Giorgio Tavecchio,ATL,K,29,7,127.1,7.94375,17,1.1,-6.433333333,132
D.J. Swearinger,ARI,S,28,6,112,7,15,1.675,-2.45,113
Micah Hyde,BUF,S,29,6,90.55,5.659375,55,0.65,-23.9,237
Dustin Hopkins,WAS,K,29,6,128.9,8.05625,13,0.5,-4.633333333,119
Latavius Murray,NOS,RB,29,6,150.1,9.38125,27,4.25,19.3,49
Vince Williams,PIT,LB,30,6,46,2.875,81,0,-80,411
Benny Cunningham,JAC,RB,29,6,0,0,96,0,-130.8,457
Demetrius Harris,CLE,TE,28,6,27.2,1.7,54,5.45,-67.16666667,394
C.J. Anderson,DET,RB,28,6,101.9,6.36875,45,4.55,-28.9,276
Jack Doyle,IND,TE,29,6,88.5,5.53125,17,4.3,-5.866666667,127
Bradley McDougald,SEA,S,29,6,100.35,6.271875,35,0.4,-14.1,173
Josh Hill,NOS,TE,29,6,32.4,2.025,46,0.9,-61.96666667,380
Jeff Heath,DAL,S,28,6,103.45,6.465625,28,0.875,-11,156
Teddy Bridgewater,NOS,QB,27,5,0,0,35,0,-283.1866667,462
Blake Bortles,LAR,QB,28,5,0,0,35,0,-283.1866667,462
A.J. McCarron,HOU,QB,29,5,0,0,35,0,-283.1866667,462
Devonta Freeman,ATL,RB,27,5,182.2,11.3875,21,1.4,51.4,25
Isaiah Crowell,OAK,RB,26,5,0,0,96,0,-130.8,457
Trey Burton,CHI,TE,28,5,94.4,5.9,13,1.05,0.033333333,96
Jadeveon Clowney,HOU,LB,26,5,83,5.1875,8,0.25,0.616666667,89
Stephon Tuitt,PIT,DE,26,5,46.5,2.90625,66,0.775,-35.88333333,317
Trent Murphy,BUF,DE,29,5,44.85,2.803125,69,0.475,-37.53333333,322
Khalil Mack,CHI,LB,28,5,111.1,6.94375,19,0.725,-14.9,180
Darqueze Dennard,CIN,CB,28,5,90.05,5.628125,56,0.325,-24.4,242
Ha Ha Clinton-Dix,CHI,S,27,5,99.1,6.19375,39,0.525,-15.35,182
Lamarcus Joyner,OAK,S,29,5,102.5,6.40625,30,0.2,-11.95,160
Jerick McKinnon,SFO,RB,27,5,139,8.6875,34,12.3,8.2,68
Deone Bucannon,TBB,LB,27,5,36.1,2.25625,82,0,-89.9,415
Demarcus Lawrence,DAL,DE,27,5,85.6,5.35,7,2.625,3.216666667,80
Christian Kirksey,CLE,LB,27,5,101.75,6.359375,33,1.375,-24.25,240
Preston Brown,CIN,LB,27,5,100.5,6.28125,34,0.675,-25.5,253
Richard Rodgers,PHI,TE,27,5,22.9,1.43125,55,3.65,-71.46666667,401
Ricardo Allen,ATL,S,28,5,69.35,4.334375,79,0.95,-45.1,342
Avery Williamson,NYJ,LB,27,5,97.35,6.084375,42,0.85,-28.65,273
Alfred Blue,JAC,RB,28,5,40.6,2.5375,68,2.71,-90.2,416
David Fales,DET,QB,29,5,0,0,35,0,-283.1866667,462
Shelby Harris,DEN,DT,28,5,59.9,3.74375,40,0.775,-22.48333333,226
Terrance Mitchell,CLE,CB,27,5,97.2,6.075,42,0.675,-17.25,193
