Yahoo-ID,Player,Team,Position,Proj-Value,AAV,Percent-Drafted,ADP,Avg-Round,Percent-Drafted
24936,Dion Lewis,Ten,RB,$2 ,1.4,10%,129.9,14,17%
buffalo,Buffalo,Buf,DEF,$0 ,1,31%,129.9,14.5,29%
31538,Greg Joseph,Cle,K,$0 ,0,0%,129.9,13.4,4%
27120,Brandon McManus,Den,K,$0 ,0,0%,130,13.4,4%
31840,T.J. Hockenson,Det,TE,$1 ,1.1,42%,130.1,14.5,39%
30977,Josh Allen,Buf,QB,$3 ,1.3,29%,130.6,15.4,17%
27619,John Brown,Buf,WR,$1 ,1,1%,130.6,13.6,6%
31868,Deebo Samuel,SF,WR,$1 ,2.6,5%,130.6,16.1,2%
27590,Jimmy Garoppolo,SF,QB,$3 ,1.2,90%,131,14.9,69%
31934,Alexander Mattison,Min,RB,$0 ,1.7,1%,131.3,14.2,2%
31852,Noah Fant,Den,TE,$1 ,1.1,12%,131.4,14.3,16%
29949,Aldrick Rosas,NYG,K,$0 ,1,88%,131.5,14.7,79%
28188,Chris Boswell,Pit,K,$0 ,1,1%,131.6,13.9,4%
27299,Jack Doyle,Ind,TE,$4 ,1.1,95%,132,14.9,84%
28378,Jason Myers,Sea,K,$0 ,1,11%,132.2,13.9,47%
ny-jets,New York,NYJ,DEF,$0 ,2.8,2%,132.3,14.4,2%
29315,Austin Hooper,Atl,TE,$6 ,1,90%,132.9,15,79%
san-francisco,San Francisco,SF,DEF,$0 ,1.7,8%,133.1,15.3,5%
31019,Dallas Goedert,Phi,TE,$1 ,1.4,2%,133.2,13.9,6%
24017,Rob Gronkowski,NE,TE,$0 ,1,1%,133.3,14,3%
31056,Mark Andrews,Bal,TE,$1 ,1,2%,134.1,14.1,10%
31366,Michael Badgley,LAC,K,$0 ,1,94%,134.4,15,86%
26708,Jordan Reed,Was,TE,$2 ,1,73%,135.7,15.3,55%
seattle,Seattle,Sea,DEF,$0 ,1,52%,136.6,15.5,37%
